Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,12174.940430,12270.190430,12169.280273,12266.410156,12266.410156,4146680000
2022-09-13,11908.809570,11957.969727,11604.429688,11633.570313,11633.570313,5188380000
2022-09-14,11680.410156,11746.830078,11602.759766,11719.679688,11719.679688,4861530000
2022-09-15,11633.240234,11760.730469,11497.110352,11552.360352,11552.360352,4805910000
2022-09-16,11401.209961,11460.429688,11316.919922,11448.400391,11448.400391,7451840000
2022-09-19,11338.570313,11538.129883,11337.830078,11535.019531,11535.019531,4168670000
2022-09-20,11440.139648,11520.990234,11343.719727,11425.049805,11425.049805,4028100000
2022-09-21,11466.209961,11613.570313,11218.990234,11220.190430,11220.190430,4471000000
2022-09-22,11167.379883,11203.769531,11024.639648,11066.809570,11066.809570,4916470000
2022-09-23,10952.690430,10958.290039,10732.719727,10867.929688,10867.929688,5134350000
2022-09-26,10833.379883,11024.000000,10789.049805,10802.919922,10802.919922,4697730000
2022-09-27,10955.290039,11040.980469,10741.019531,10829.500000,10829.500000,4445050000
2022-09-28,10817.519531,11101.500000,10776.339844,11051.639648,11051.639648,4556100000
2022-09-29,10894.440430,10899.469727,10623.219727,10737.509766,10737.509766,4516630000
2022-09-30,10697.709961,10883.040039,10572.330078,10575.620117,10575.620117,4649710000
2022-10-03,10659.009766,10875.459961,10577.889648,10815.429688,10815.429688,4415440000
2022-10-04,11054.719727,11189.959961,11044.040039,11176.410156,11176.410156,5004780000
2022-10-05,11022.669922,11210.320313,10910.759766,11148.639648,11148.639648,4091860000
2022-10-06,11129.040039,11230.440430,11051.269531,11073.309570,11073.309570,4423320000
2022-10-07,10877.280273,10891.929688,10608.519531,10652.400391,10652.400391,4634190000
2022-10-10,10659.950195,10669.929688,10449.040039,10542.099609,10542.099609,3989640000
2022-10-11,10484.370117,10608.839844,10351.980469,10426.190430,10426.190430,4738840000
2022-10-12,10437.000000,10494.530273,10372.209961,10417.099609,10417.099609,4091030000
2022-10-13,10131.820313,10697.709961,10088.830078,10649.150391,10649.150391,5300080000
2022-10-14,10742.809570,10766.690430,10308.809570,10321.389648,10321.389648,4393000000
2022-10-17,10575.650391,10696.589844,10569.690430,10675.799805,10675.799805,4439190000
2022-10-18,10963.990234,10972.969727,10670.120117,10772.400391,10772.400391,5047360000
2022-10-19,10689.309570,10808.040039,10592.879883,10680.509766,10680.509766,4955090000
2022-10-20,10657.410156,10837.299805,10574.549805,10614.839844,10614.839844,4628010000
2022-10-21,10576.040039,10875.719727,10542.429688,10859.719727,10859.719727,4706440000
2022-10-24,10867.070313,10983.519531,10713.330078,10952.610352,10952.610352,4808710000
2022-10-25,10996.969727,11210.379883,10996.969727,11199.120117,11199.120117,5141760000
2022-10-26,10969.019531,11205.839844,10948.379883,10970.990234,10970.990234,5224440000
2022-10-27,10971.950195,10998.730469,10780.500000,10792.669922,10792.669922,4773520000
2022-10-28,10766.200195,11117.040039,10766.200195,11102.450195,11102.450195,4731940000
2022-10-31,11028.429688,11047.940430,10914.009766,10988.150391,10988.150391,4753740000
2022-11-01,11154.740234,11156.349609,10881.190430,10890.849609,10890.849609,4677520000
2022-11-02,10885.009766,10993.240234,10522.900391,10524.799805,10524.799805,5436420000
2022-11-03,10399.450195,10486.009766,10319.540039,10342.940430,10342.940430,5102190000
2022-11-04,10548.139648,10553.629883,10262.929688,10475.250000,10475.250000,5453750000
2022-11-07,10516.940430,10587.959961,10428.910156,10564.519531,10564.519531,4456690000
2022-11-08,10611.530273,10745.639648,10472.730469,10616.200195,10616.200195,5134500000
2022-11-09,10528.450195,10564.969727,10344.009766,10353.169922,10353.169922,4977460000
2022-11-10,10869.169922,11119.120117,10779.950195,11114.150391,11114.150391,6433000000
2022-11-11,11124.750000,11352.429688,11069.830078,11323.330078,11323.330078,5867750000
2022-11-14,11233.900391,11350.120117,11167.169922,11196.219727,11196.219727,5004060000
